nodes,gpus,ntasks,batch_size,prefetch,max_memory_usage
4,2,2,1,4,9362.05859375
4,2,2,1,8,9436.2734375
4,2,2,4,1,9301.68359375
4,2,2,4,2,9364.49609375
4,2,2,4,4,11467.56640625
4,2,2,4,8,11483.421875
4,2,2,16,1,11463.7890625
4,2,2,16,2,15653.6328125
4,2,2,16,4,15707.56640625
4,2,2,16,8,24152.51171875
4,3,3,1,1,13817.45703125
4,3,3,1,2,13790.50390625
4,3,3,1,4,13899.453125
4,3,3,1,8,13954.0390625
4,3,3,4,1,16950.0390625
4,3,3,4,2,17031.38671875
4,3,3,4,4,17007.7109375
4,3,3,4,8,23395.64453125
4,3,3,16,1,23368.89453125
4,3,3,16,2,23339.71484375
4,3,3,16,4,23421.80078125
4,3,3,16,8,36048.04296875
4,4,4,1,1,18328.80078125
4,4,4,1,2,18466.09765625
4,4,4,1,4,18422.6875
4,4,4,1,8,18421.33984375
4,4,4,4,1,22588.58203125
4,4,4,4,2,22547.3046875
4,4,4,4,4,22601.77734375
4,4,4,4,8,31050.5
4,4,4,16,1,31023.85546875
4,4,4,16,2,31041.44140625
4,4,4,16,4,31089.7265625
4,4,4,16,8,47899.0390625
5,1,1,1,1,4976.6171875
5,1,1,1,2,4947.42578125
5,1,1,1,4,4969.6640625
5,1,1,1,8,4929.05859375
5,1,1,4,1,5995.26171875
5,1,1,4,2,5982.12109375
5,1,1,4,4,6012.65625
5,1,1,4,8,8100.1171875
5,1,1,16,1,8109.859375
5,1,1,16,2,8113.984375
5,1,1,16,4,8098.0078125
5,1,1,16,8,12310.12109375
5,2,2,1,1,9473.265625
5,2,2,1,2,9480.30078125
5,2,2,1,4,9352.7890625
5,2,2,1,8,9481.37109375
5,2,2,4,1,9351.10546875
5,2,2,4,2,9396.54296875
5,2,2,4,4,11500.5546875
5,2,2,4,8,11518.30078125
5,2,2,16,1,11441.9140625
5,2,2,16,2,15713.1484375
5,2,2,16,4,15685.01953125
5,2,2,16,8,24177.4296875
5,3,3,1,1,13876.515625
5,3,3,1,2,13843.875
5,3,3,1,4,13798.5390625
5,3,3,1,8,13843.3203125
5,3,3,4,1,17021.19921875
5,3,3,4,2,16971.27734375
5,3,3,4,4,17004.7109375
